City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ilulissat,69.2167,-51.1,11.01,76,75,0.0,GL,1689808791
1,albany,42.6001,-73.9662,26.05,58,20,1.27,US,1689808272
2,west island,-12.1568,96.8225,24.99,83,75,5.14,CC,1689808791
3,vorgashor,67.5833,63.95,16.51,81,84,2.21,RU,1689808792
4,san luis de la loma,17.2706,-100.8939,31.39,65,63,3.63,MX,1689808792
5,mar del plata,-38.0023,-57.5575,7.75,77,0,4.12,AR,1689808793
6,tolanaro,-25.0319,46.9987,18.88,84,0,1.98,MG,1689808793
7,bethel,41.3712,-73.414,27.05,72,20,0.0,US,1689808608
8,arkhangel'sk,64.5401,40.5433,17.6,79,74,2.59,RU,1689808655
9,san andres,12.5847,-81.7006,30.01,79,75,5.66,CO,1689808795
10,yellowknife,62.456,-114.3525,27.29,34,75,2.57,CA,1689808795
11,waitangi,-43.9535,-176.5597,13.23,90,88,2.68,NZ,1689808796
12,vila franca do campo,37.7167,-25.4333,21.23,83,96,0.67,PT,1689808796
13,port-aux-francais,-49.35,70.2167,3.09,91,100,9.87,TF,1689808796
14,borkum,53.5809,6.6915,15.97,72,64,6.75,DE,1689808797
15,edinburgh of the seven seas,-37.0676,-12.3116,13.62,83,100,8.88,SH,1689808797
16,al kharijah,25.4514,30.5464,31.6,19,0,2.78,EG,1689808798
17,badger,64.8,-147.5333,22.51,71,75,1.54,US,1689808798
18,dunedin,-45.8742,170.5036,7.05,75,100,2.83,NZ,1689808524
19,tiksi,71.6872,128.8694,11.21,80,95,6.44,RU,1689808799
20,crane,31.3974,-102.3501,39.07,14,5,8.56,US,1689808799
21,nyurba,63.2842,118.3319,16.21,91,90,2.51,RU,1689808800
22,olinda,-8.0089,-34.8553,25.85,73,40,7.72,BR,1689808800
23,grytviken,-54.2811,-36.5092,-1.3,83,58,5.72,GS,1689808801
24,st. john's,47.5649,-52.7093,24.04,90,40,7.72,CA,1689808606
25,lihue,21.9789,-159.3672,27.77,77,100,9.26,US,1689808592
26,ballina,-28.8667,153.5667,13.77,65,2,3.06,AU,1689808802
27,college,64.8569,-147.8028,22.55,71,100,1.54,US,1689808803
28,puerto natales,-51.7236,-72.4875,0.64,91,100,0.84,CL,1689808803
29,haiku-pauwela,20.9219,-156.3051,25.84,88,75,9.77,US,1689808804
30,la mira,18.035,-102.3266,31.61,68,46,5.36,MX,1689808804
31,pingliang,35.5392,106.6861,20.64,74,78,1.85,CN,1689808805
32,sharan,54.8167,54.0,14.32,97,66,3.6,RU,1689808805
33,mejit,10.2753,170.8646,28.33,82,100,8.6,MH,1689808806
34,iqaluit,63.7506,-68.5145,3.85,100,100,2.57,CA,1689808807
35,kolda,12.8833,-14.95,25.51,89,34,2.67,SN,1689808807
36,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,94,100,5.0,RU,1689808807
37,blackmans bay,-43.0167,147.3167,9.07,72,100,6.02,AU,1689808808
38,anshun,26.25,105.9333,18.4,98,98,0.91,CN,1689808808
